@W: CS133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":137:30:137:41|Ignoring property syn_preserve
@W: CG133 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":285:6:285:13|Object xt_ready is declared but not assigned. Either assign a value or remove the declaration.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":874:0:874:8|Pruning unused register SPI2_16_div_counter[5:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":841:0:841:8|Pruning unused register i. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":795:0:795:8|Pruning unused register uart_busy_tx. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":721:0:721:8|Pruning unused register dp[3:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":721:0:721:8|Pruning unused register rp[3:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":721:0:721:8|Pruning unused register nrp[7:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":721:0:721:8|Pruning unused register skip_op. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":721:0:721:8|Pruning unused register branch. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":377:0:377:8|Pruning unused register DICT_START[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":377:0:377:8|Pruning unused register ERROR_CFA[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":377:0:377:8|Pruning unused register xt_valid. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":377:0:377:8|Pruning unused register count[3:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":377:0:377:8|Pruning unused register nwp[7:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Pruning unused register mem_diff[9:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[1]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[2]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[3]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[4]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[5]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[6]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[7]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[8]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[9]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[10]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[11]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[12]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[13]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[14]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[15]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":914:0:914:8|Pruning unused register Reset_ctr[16]. Make sure that there are no unused intermediate registers.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[52][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[51][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[51] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[50][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[49][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[49] and merging bootROM[51]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[49] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[48][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[48] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[48] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[48] and merging bootROM[51]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[48] and merging bootROM[51]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[47][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[47] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[47] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[46][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[46] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[46] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[46] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[46] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[45][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[45] and merging bootROM[46]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[44][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[44] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[44] and merging bootROM[51]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[43][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[42][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[42] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[42] and merging bootROM[51]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[41][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[41] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[40][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[40] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[40] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[40] and merging bootROM[43]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[40] and merging bootROM[41]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[40] and merging bootROM[41]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[40] and merging bootROM[43]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[39][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[39] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[39] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[38][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[38] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[38] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[38] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[38] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[38] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[37][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[37] and merging bootROM[50]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[36][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[36] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Sharing sequential element bootROM[36] and merging bootROM[52]. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL113 :"D:\MyStuff\Projects\Forth_Processor2-Lattice - dg\Diamond\Demitri Demo\impl1\source\Forth_Proc.sv":350:0:350:8|Feedback mux created for signal bootROM[35][31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
